"UF Ocorr�ncia";"N�o preenchido";"Ignorado";"Menos 22";"22 a 27";"28 a 31";"32 a 36";"37 a 41";"42 e +";"Total"
"11 Rond�nia";3,00;0,50;6,00;20,00;22,50;32,00;15,50;0,50;100,00
"12 Acre";8,33;0,69;5,56;24,31;18,75;19,44;22,92;-;100,00
"13 Amazonas";1,81;1,25;7,93;18,35;14,16;27,97;27,41;1,13;100,00
"14 Roraima";3,95;3,29;7,89;26,32;12,50;24,34;21,05;0,66;100,00
"15 Par�";4,93;0,39;8,22;20,79;16,97;26,84;21,45;0,39;100,00
"16 Amap�";2,82;1,69;7,34;18,64;15,25;32,77;21,47;-;100,00
"17 Tocantins";5,39;0,41;9,13;22,41;14,94;26,56;21,16;-;100,00
"21 Maranh�o";5,13;0,41;7,86;16,80;16,23;27,65;25,75;0,17;100,00
"22 Piau�";4,03;1,91;4,88;19,11;20,17;23,57;26,33;-;100,00
"23 Cear�";2,86;0,54;8,57;26,43;17,41;25,09;19,11;-;100,00
"24 Rio Grande do Norte";6,23;0,50;16,46;23,69;17,46;20,45;15,21;-;100,00
"25 Para�ba";5,64;0,39;9,14;26,46;15,56;21,21;21,40;0,19;100,00
"26 Pernambuco";7,88;1,22;5,81;24,02;15,53;23,95;21,50;0,08;100,00
"27 Alagoas";8,64;0,74;6,80;18,75;13,60;26,65;24,45;0,37;100,00
"28 Sergipe";3,28;1,09;11,75;21,04;13,66;25,68;22,95;0,55;100,00
"29 Bahia";4,15;1,74;12,13;24,21;17,07;21,26;19,27;0,17;100,00
"31 Minas Gerais";5,07;2,06;10,88;27,00;15,13;22,74;17,02;0,09;100,00
"32 Esp�rito Santo";4,45;0,61;4,45;36,84;16,19;23,48;13,97;-;100,00
"33 Rio de Janeiro";3,12;2,98;8,79;27,68;17,01;24,03;16,29;0,10;100,00
"35 S�o Paulo";5,13;2,01;11,71;30,34;15,74;20,79;14,12;0,15;100,00
"41 Paran�";2,42;1,61;13,35;28,58;17,03;21,95;15,05;-;100,00
"42 Santa Catarina";3,33;0,67;12,92;27,03;17,84;22,77;15,18;0,27;100,00
"43 Rio Grande do Sul";4,33;1,86;9,07;28,76;16,80;23,40;15,57;0,21;100,00
"50 Mato Grosso do Sul";2,97;0,23;9,84;27,69;18,54;24,03;16,48;0,23;100,00
"51 Mato Grosso";2,96;0,35;8,52;26,26;18,26;26,43;17,04;0,17;100,00
"52 Goi�s";3,19;-;10,60;28,10;15,96;26,18;15,84;0,13;100,00
"53 Distrito Federal";2,96;0,37;13,49;30,50;12,94;23,29;16,27;0,18;100,00
